KOD			INGILIZCE			TURKCE
1			accountant			muhasebeci
2			afraid				korkmus
3			age				yas
4			airplane			ucak
5			alone				yalniz
6			angry				kizgin-sinirli
7			animal				hayvan
8			answer				cevapvermek
9			architect			mimar
10			arrive				varmak
11			aunt				hala-teyze
12			bag				canta
13			ball				top
14			bath				banyo
15			beautiful			guzel
16			bill				hesap-fatura
17			body				vucut
18			boil				kaynamak
19			bookstore			kitapci
20			boring				sIkici
21			borrow				oduncalmak
22			boss				patron
23			bottle				sise
24			box				kutu
25			brave				cesur
26			bread				ekmek
27			break				kirmak
28			bridge				kopru
29			brush				firca
30			build				insaetmek
31			butter				tereyagi
32			calculator			hesapmakinasi
33			calendar			takvim
34			call				aramak
35			capital				baskent
36			carpenter			marangoz
37			carpet				hali
38			carry				tasimak
39			cartoon				cizgifilm
40			chair				sandalye
41			cheap				ucuz
42			cheese				peynir
43			cherry				kiraz
44			chicken				tavuk
45			church				kilise
46			clean				temizlemek
47			clear				acik,net
48			clever				akilli
49			clock				saat
50			cloud				bulut
51			coat				kaban
52			cold				soguk
53			company				sirket
54			continue			devametmek
55			correct				DOGRU
56			country				ulke
57			cow				inek
58			cry				aglamak
59			daily				gunluk
60			dark				koyu-karanlik
61			dentist				dishekimi
62			difficult			zor
63			dirty				kirli
64			divorced			bosanmis
65			draw				cizmek
66			early				erken
67			earn				kazanmak
68			elephant			fil
69			emergency			acil
70			empty				bos
71			engaged				nisanli
72			engineer			muhendis
73			enough				yeterli
74			eraser				silgi
75			error				hata
76			fall				dusmek-sonbahar
77			far				uzak
78			farm				ciftlik
79			fat				sisman
80			finger				parmak
81			fire				ates-yangin
82			flight				ucus
83			floor				yer,zemin
84			fork				catal
85			friendly			arkadasca
86			fruit				meyve
87			funny				komik
88			garden				bahce
89			glass				bardak
90			grape				uzum
91			gun				tabanca
92			habit				aliskanlik
93			half				yarim
94			hand				el
95			handsome			yakisIkli
96			hate				nefretetmek
97			health				saglik
98			hear				duymak
99			heart				kalp
100			heavy				agir
101			high				yuksek
102			history				tarih
103			horror				korku
104			hungry				ac
105			ill				hasta
106			interested			ilgili
107			job				meslek
108			journalist			gazeteci
109			kill				oldurmek
110			large				genis
111			laugh				gulmek
112			lawyer				avukat
113			leave				ayrilmak
114			left				sol
115			lend				oduncvermek
116			letter				mektup
117			library				kutuphane
118			light				hafif/isIk
119			lunch				ogleyemegi
120			main				ana-temel
121			manager				yonetici,mudur
122			map				harita
123			married				evli
124			meal				yemek
125			meet				bulusmak
126			meeting				toplanti
127			melon				kavun
128			minute				dakika
129			mirror				ayna
130			miss				ozlemek
131			mistake				hata
132			month				ay
133			need				ihtiyac
134			neighbour			komsu
135			news				haberler
136			nice				hos
137			nose				burun
138			nurse				hemsire
139			object				nesne
140			opposite			karsi-zit
141			oven				firin
142			page				sayfa
143			paint				boyamak
144			parent				ebeveyn
145			pass				gecmek
146			pay				odemek
147			pepper				biber
148			personal			kisisel
149			pet				evcilhayvan
150			place				yer
151			plane				ucak
152			pocket				cep
153			polite				kibar
154			pool				havuz
155			poor				fakir
156			possible			mumkun
157			push				ittirmek
158			quick				hizli
159			quiet				sessiz
160			railway				trenyolu
161			ready				hazir
162			refrigerator			buzdolabi
163			remember			hatirlamak
164			rent				kiralamak
165			repair				tamiretmek
166			repeat				tekraretmek
167			restroom			tuvalet
168			return				geridonmek
169			rice				pirinc
170			rich				zengin
171			ride				binmek
172			right				DOGRU
173			ring				yuzuk-telefonuncalmasi
174			rise				gunes(dogmak)
175			river				irmak
176			road				yol
177			roof				cati
178			room				oda
179			rose				gul
180			salt				tuz
181			same				ayni
182			security			guvenlik
183			sell				satmak
184			serious				ciddi
185			shelf				raf
186			ship				gemi
187			shirt				gomlek
188			shoe				ayakkabi
189			show				gostermek
190			sick				hasta
191			sing				sarkisoylemek
192			single				bekar
193			skirt				etek
194			sky				gokyuzu
195			smile				gulumsemek
196			snow				kar
197			socks				corap
198			son				erkekkardes
199			song				sarki
200			soup				corba
201			spend				harcamak
202			spoon				kasIk
203			stamp				pul
204			stay				kalmak
205			story				hikaye
206			strawberry			cilek
207			strong				guclu
208			successful			basarili
209			suit				takimelbise
210			sweet				tatli
211			talk				konusmak
212			tall				uzun
213			teach				ogretmek
214			thick				kalin
215			thief				hirsiz
216			thin				zayif
217			think				dusunmek
218			thirsty				susamis
219			ticket				bilet
220			tidy				duzenlemek
221			tired				yorgun
222			toothbrush			disfircasi
223			toothpaste			dismacunu
224			towel				havlu
225			tower				kule
226			town				kasaba
227			toy				oyuncak
228			trainers			sporayakkabi
229			travel				seyahat
230			tree				agac
231			trousers			pantolon
232			turn				donmek
233			ugly				cirkin
234			umbrella			semsiye
235			uncle				amca-dayi
236			understand			anlamak
237			underwear			iccamasiri
238			waiter				garson
239			wall				duvar
240			watermelon			karpuz
241			way				yol
242			weak				gucsuz
243			wear				giyinmek
244			week				hafta
245			wind				ruzgar
246			winter				kis
247			wonderful			harika
248			word				kelime
249			wrong				YANLIS
250			zoo				hayvanatbahcesi
251			abroad				yurtdisi
252			accept				kabuletmek
253			accident			kaza
254			adventure			macera
255			agree				katilmak(birdusunceye)
256			anniversary			yildonumu
257			ant				karinca
258			area				bolge
259			argue				tartismak
260			arm				kol
261			backgammon			tavla
262			begin				baslamak
263			believe				inanmak
264			bell				zil
265			bite				isirmak
266			blanket				battaniye
267			brain				beyin
268			bring				getirmek
269			business			is
270			busy				mesgul
271			cable				kablo
272			can				konservekutusu
273			cap				kasket,baslik
274			cash				nakitpara
275			catch				yakalamak
276			chance				sans,imkan
277			changingroom			soyunmaodasi
278			chess				satranc
279			chewinggum			sakiz
280			chin				cene
281			choose				secmek
282			climb				tirmanmak
283			cloth				kiyafet
284			collect				toplamak
285			complete			tamamlamak
286			confused			kafasIkarisIk,allakbullak
287			connect				baglanmak
288			contact				irtibatagecmek
289			cookies				kurabiye
290			cool				havali,serin
291			cost				tutar,maliyet
